mod_id,mod_installed_name,mod_version,file_installed_name
51131,"1 Dynamic Loot - Immersive Armors","d2014.4.3","I:/Nexus Mods Manager/mods/1 Dynamic Loot - Immersive Armors-51131-7-1.zip"
51131,"2 Dynamic Loot - Immersive Weapons","d2014.4.3","I:/Nexus Mods Manager/mods/2 Dynamic Loot - Immersive Weapons-51131-1-5a.zip"
38301,"2048x2048 Rugged Males","d2015.4.16","I:/Nexus Mods Manager/mods/2048x2048 Rugged Males-38301-3-0.rar"
8429,"3DNPC","d2014.5.2","I:/Nexus Mods Manager/mods/3DNPC v3_05-8429-3-05.7z"
4929,"A Quality World Map and Solstheim Map - With Roads","8.4.0.0","A Quality World Map - New Installer-4929-8-4.7z"
30339,"A Simple Marriage Mod","1.7.0.0","A Simple Marriage Mod v1-7 BSA-30339-1-7.7z"
9557,"Alternate Start - Live Another Life","3.0.1.0","Alternate Start - Live Another Life-9557-3-0-1.7z"
0,"AmazingFollowerTweaks","d2014.8.8","I:/Nexus Mods Manager/mods/AmazingFollowerTweaks_1_66-15524-1-66.7z"
0,"Animated Enchantments Overhaul","d2014.3.9","I:/Nexus Mods Manager/mods/Animated Enchantments Overhaul 1_2_1-41875-1-2-1.rar"
35092,"ApachiiSkyHair a NATURAL retextur","d2014.2.28","I:/Nexus Mods Manager/mods/ApachiiSkyHair a NATURAL_retextur-35092-2-3.rar"
35092,"ApachiiSkyHair NATURAL retexture - UPDATE","d2014.2.28","I:/Nexus Mods Manager/mods/ApachiiSkyHair NATURAL retexture - UPDATE-35092-2-4.rar"
10168,"ApachiiSkyHair v 1 5 Full","d2014.1.2","I:/Nexus Mods Manager/mods/ApachiiSkyHair_v_1_5_Full-10168-1-5-Full.7z"
10168,"ApachiiSkyHairFemale","d2014.12.26","I:/Nexus Mods Manager/mods/ApachiiSkyHairFemale_v_1_5-10168-1-5.7z"
10168,"ApachiiSkyHairMale","d2014.12.26","I:/Nexus Mods Manager/mods/ApachiiSkyHairMale_v_1_2-10168-1-2.7z"
16225,"Apocalypse New","d2014.5.2","I:/Nexus Mods Manager/mods/Apocalypse New v508-16225-5-08.zip"
27028,"ARMONIZER - Armor Pack","d2014.5.2","I:/Nexus Mods Manager/mods/ARMONIZER - Armor Pack v23-27028-2-3.rar"
0,"ASIS Patcher","d2014.5.2","I:/Nexus Mods Manager/mods/ASIS Patcher 1-40-8-18436-1-40-8.7z"
6239,"Balanced New Beast Scales Heavy Version","d2014.2.21","I:/Nexus Mods Manager/mods/Balanced New Beast Scales Heavy Version-6239-1-4.zip"
16438,"Bandolier - Bags and Pouches v1dot2","d2014.2.28","I:/Nexus Mods Manager/mods/Bandolier - Bags and Pouches v1dot2-16438-1-2.7z"
6554,"Basvanbeu MuscleTextureChanger female only LITE with NavetseaSkinset for CBBE or UNP set","d2015.6.4","C:/Users/Shaker/Downloads/Basvanbeu MuscleTextureChanger female only LITE with NavetseaSkinset for CBBE or UNP set-6554.7z"
0,"BeeingFemale 2 4","d2015.6.4","C:/Users/Shaker/Downloads/BeeingFemale_2_4.zip"
0,"BestialityAnimationPack","d2014.3.28","I:/Nexus Mods Manager/mods/BestialityAnimationPack.rar"
0,"BestialityExtras","d2014.3.28","I:/Nexus Mods Manager/mods/BestialityExtras.rar"
26113,"Better Females By Bella Natural Edition","2.0.0.0","CBBE ZEROMake-Up-26113-2-0.7z"
39870,"Better Shaped Weapons - All in One Installer","1.8.3.0","I:/Nexus Mods Manager/mods/BetterShapedWeapons_LeanWolf_v183b_AllInOne_Installer-39870-1-8-3.7z"
9717,"Better Vampires 6.5","6.5.0.0","I:/Nexus Mods Manager/mods/Better Vampires 6-5-9717-6-5.zip"
63473,"Bijin Wives","1.0.0.0","Bijin Wives CBBE-63473-1-0.7z"
